"Time_Iter",    "Cur_Time"    ,     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,    "Avg_Press"   ,       "CD"       ,       "CL"       ,     "probe1"     
          0,                 0,      -6.706690441,      -7.539730926,      -7.791621817,                 0,        43.8480703,    -0.08388696868,      0.1198638088
          1,              0.01,      -6.815605721,      -7.682057254,      -7.999161767,                 0,      -8.699531783,      0.1763028707,      0.1196193119
          2,              0.02,      -6.833605496,      -7.664403353,      -8.056163017,                 0,       1.408324938,    -0.07467936097,      0.1195659432
          3,              0.03,      -6.754283298,      -7.533337412,      -8.031417413,                 0,       1.843399452,    -0.01536863691,      0.1196191008
          4,              0.04,      -7.042430273,      -7.741047348,      -8.358314093,                 0,       1.827755675,    0.005430326461,      0.1196528623
          5,              0.05,      -7.128484951,      -7.871406128,      -8.425216464,                 0,       1.840703291,  -0.0002406686283,      0.1196321409
          6,              0.06,      -7.158859713,      -7.877861845,      -8.486597408,                 0,       1.872337883,  -0.0007342954799,      0.1195890322
          7,              0.07,      -7.676741742,       -8.46603416,       -8.80768104,                 0,       1.898441033,    0.002733618742,      0.1195594991
          8,              0.08,      -7.705378392,      -8.440369003,      -8.944306622,                 0,       1.906182444,     0.00461026187,      0.1195534294
          9,              0.09,      -7.732406881,      -8.468901818,      -9.005917519,                 0,       1.909935554,    0.003507641209,      0.1195626877
         10,               0.1,       -8.01415197,      -8.804864446,      -9.147127185,                 0,       1.923850001,   0.0004967517748,      0.1195719885
         11,              0.11,      -8.210624727,      -9.043239472,      -9.301371215,                 0,       1.951007575,   -0.001822902422,      0.1195715227
         12,              0.12,      -8.189921142,       -8.96155365,      -9.276963564,                 0,        1.98230302,   -0.001126204962,      0.1195599794
         13,              0.13,      -8.200344122,      -8.981185503,      -9.264141544,                 0,       2.009711377,  -7.174907096e-05,      0.1195412692
         14,              0.14,      -8.317676453,      -9.127947554,       -9.40734346,                 0,       2.028495759,   0.0003922169666,      0.1195205322
         15,              0.15,      -8.593561836,      -9.424837531,      -9.746516327,                 0,       2.039699267,   0.0002940216859,        0.11950098
         16,              0.16,      -8.581875482,      -9.374590581,      -9.690335996,                 0,       2.045554987,  -0.0001296037921,      0.1194835169
