"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,      -4.232783132,      -3.998267073,      -4.491619154,      -3.959485006
          0,           0,           1,      -3.843886627,      -3.740260196,      -3.711485691,      -4.180180471
          0,           0,           2,      -3.547231435,      -3.457351283,      -3.582183596,      -4.023276039
          0,           0,           3,      -3.526671432,       -3.39907018,      -3.661689204,      -4.027503773
          0,           0,           4,      -3.447950925,      -3.276424134,       -3.63220594,      -3.975151733
          0,           0,           5,      -3.454807978,      -3.242599845,       -3.67029481,      -3.961369964
          0,           0,           6,      -3.457511518,      -3.216575981,      -3.678930343,      -3.924045957
          0,           0,           7,      -3.471619598,      -3.204482417,      -3.682707148,      -3.894842833
          0,           0,           8,      -3.494473068,      -3.208688386,      -3.705173362,      -3.904651217
          0,           0,           9,       -3.51786668,      -3.225025794,      -3.728427951,      -3.928662305
          0,           0,          10,      -3.538975057,      -3.246732461,      -3.751743799,      -3.947959419
          0,           0,          11,      -3.563440458,       -3.27518839,      -3.778082331,      -3.974242581
          0,           0,          12,      -3.592523673,      -3.311215716,      -3.805774669,      -4.008248513
          0,           0,          13,      -3.623416993,      -3.350602574,      -3.836289441,      -4.048147742
          0,           0,          14,      -3.649520309,      -3.388258872,      -3.864763675,      -4.087260492
          0,           0,          15,      -3.665182915,      -3.420435958,      -3.888304175,      -4.123270511
          0,           0,          16,      -3.671304596,      -3.445656357,      -3.908495595,      -4.154776691
          0,           0,          17,      -3.674091412,      -3.466012793,      -3.928894106,      -4.181791857
          0,           0,          18,       -3.67996701,      -3.485569652,      -3.953731296,      -4.206997472
          0,           0,          19,       -3.69360543,      -3.508390015,      -3.984772538,      -4.234267048
          0,           0,          20,      -3.717239868,      -3.537079243,      -4.020169339,      -4.266009637
          0,           0,          21,      -3.750388327,      -3.572188268,      -4.056272105,      -4.301967553
          0,           0,          22,      -3.790273101,      -3.612582723,      -4.089392001,       -4.33984589
          0,           0,          23,      -3.832779875,      -3.656278536,      -4.116993738,      -4.376867334
          0,           0,          24,      -3.873600846,      -3.701070656,      -4.139624984,      -4.411694996
          0,           0,          25,      -3.909248155,      -3.744759816,      -4.161024652,      -4.444962526
          0,           0,          26,       -3.93738812,      -3.784281303,      -4.178749498,      -4.473282369
          0,           0,          27,      -3.961049858,      -3.818444286,        -4.2032012,      -4.504584802
          0,           0,          28,      -3.983969498,      -3.847546602,      -4.237717911,      -4.537109992
          0,           0,          29,      -4.005383175,      -3.869203397,      -4.276132016,       -4.56971776
          0,           0,          30,       -4.02691562,      -3.883776797,      -4.319302227,      -4.599999936
          0,           0,          31,      -4.051337598,      -3.895385551,      -4.362190463,      -4.626401231
          0,           0,          32,      -4.079184112,       -3.90741373,       -4.39767786,       -4.64977163
          0,           0,          33,      -4.110896649,      -3.922979803,      -4.425232603,      -4.672972203
          0,           0,          34,      -4.141771314,      -3.939573864,      -4.441508871,      -4.688270675
          0,           0,          35,      -4.174345737,      -3.964351319,      -4.449356539,      -4.708676488
          0,           0,          36,      -4.208209041,      -3.994906362,      -4.470231895,      -4.736988534
          0,           0,          37,      -4.244837503,      -4.033707026,      -4.490523147,      -4.768472081
          0,           0,          38,      -4.278996572,      -4.076590857,      -4.515389429,      -4.808237019
          0,           0,          39,      -4.309610179,      -4.117926158,      -4.551394322,      -4.848625683
          0,           0,          40,      -4.337923204,      -4.154585186,      -4.593296029,      -4.887241404
          0,           0,          41,      -4.364545969,      -4.183462682,      -4.637808609,      -4.921592615
          0,           0,          42,      -4.391968575,       -4.20458326,        -4.6836258,      -4.949250907
          0,           0,          43,      -4.422673967,      -4.221409895,      -4.726080791,      -4.971329599
          0,           0,          44,      -4.457723506,      -4.237756185,      -4.761519303,      -4.990953369
          0,           0,          45,      -4.492728739,      -4.252295831,      -4.781725364,      -5.003514434
          0,           0,          46,      -4.525423581,       -4.26857522,      -4.791263041,      -5.005640442
          0,           0,          47,      -4.565658976,      -4.296098806,      -4.806481351,      -5.029795374
          0,           0,          48,      -4.609369675,      -4.332834731,      -4.831631843,      -5.058271414
          0,           0,          49,      -4.656533607,      -4.380368762,      -4.860005112,       -5.09741329
          0,           0,          50,      -4.705701946,      -4.434665141,        -4.8972308,       -5.14166676
          0,           0,          51,      -4.754977121,      -4.492610673,      -4.943446268,      -5.187629592
          0,           0,          52,      -4.802060316,      -4.551703054,      -4.997024435,      -5.236645365
